Country or territory,Population(1 July 2022),Population(1 July 2023),Change(%),UN continentalregion[1],UN statisticalsubregion[1],,Country / dependency,Totalin km2 (mi2),Landin km2 (mi2),Waterin km2 (mi2),%water,
Comoros,"834,188","850,387",+1.94%,Africa,Eastern Africa,170,Comoros,"1,861 (719)","1,861 (719)",0,0,[cd]
Guyana,"821,637","826,353",+0.57%,Americas,South America,83,Guyana,"214,969 (83,000)","196,850 (76,004)","18,120 (6,996)",8.4,
Solomon Islands,"781,066","800,005",+2.42%,Oceania,Melanesia,139,Solomon Islands,"28,896 (11,157)","27,990 (10,810)",910 (350),3.1,
Bhutan,"780,914","786,385",+0.70%,Asia,Southern Asia,133,Bhutan,"38,394 (14,824)","38,140 (14,730)",250 (97),0.7,
Luxembourg,"653,313","665,098",+1.80%,Europe,Western Europe,168,Luxembourg,"2,586 (998)","2,574 (994)",16 (6),0.6,
Montenegro,"614,648","633,552",+3.08%,Europe,Southern Europe,156,Montenegro,"13,812 (5,333)","13,452 (5,194)",360 (140),2.6,
Suriname,"623,164","628,886",+0.92%,Americas,South America,90,Suriname,"163,820 (63,251)","156,000 (60,200)","7,820 (3,020)",4.8,[ay]
Malta,"528,192","532,956",+0.90%,Europe,Southern Europe,186,Malta,315 (122),315 (122),0,0,[cn]
Maldives,"524,106","525,994",+0.36%,Asia,Southern Asia,187,Maldives,300 (116),300 (116),0,0,[co]
Cape Verde,"519,741","522,331",+0.50%,Africa,Western Africa,166,Cape Verde,"4,033 (1,557)","4,033 (1,557)",0,0,
Brunei,"455,370","458,949",+0.79%,Asia,South-eastern Asia,164,Brunei,"5,765 (2,226)","5,270 (2,040)",500 (200),8.7,
Belize,"402,733","411,106",+2.08%,Americas,Central America,147,Belize,"22,965 (8,867)","22,810 (8,807)",160 (62),0.7,
Bahamas,"397,538","399,440",+0.48%,Americas,Caribbean,155,Bahamas,"13,880 (5,359)","10,010 (3,865)","3,870 (1,490)",27.8,
